,Brand,Model_Year,Model,Platform,Category,Sub_Cat,Stack,Reach,SR_ratio,TT_length,ST_length,ST_Angle,HT_length,HT_Angle,CS_length,BB_drop,BB_height,sizes.2.geometry.source.frontCenterMM,Wheelbase,Standover,Rake,Trail
2402,BMC,2017,teammachine ALR01,teammachine,road,race,559.0,383.0,1.46,546.0,535.0,73.5,158.0,72.5,405.0,69.0,,586.0,980.0,778.0,41.6,64.0
2457,Kona,2015,ROVE AL,ROVE,road,gravel,582.0,378.0,1.54,550.0,540.0,73.5,145.0,71.0,435.0,70.0,,606.0,1031.0,795.0,45.0,
2812,BMC,2019,ROADMACHINE X,ROADMACHINE,road,endurance,571.0,385.0,1.483,554.0,533.0,73.5,172.0,71.5,420.0,71.0,,607.0,1016.0,,45.0,66.0
2901,BMC,2017,roadmachine 03,roadmachine,road,endurance,571.0,385.0,1.483,554.0,507.0,73.5,172.0,71.5,420.0,71.0,,604.0,1013.0,786.0,45.0,63.0
3148,Scott,2021,Foil 30,Foil,road,aero,526.7,384.0,1.372,535.0,460.0,74.0,130.0,72.0,410.0,66.0,273.0,,980.0,753.6,,
3184,Trek,2018,520 Disc,520 Disc,road,gravel,565.0,378.0,1.495,543.0,512.0,73.8,140.0,71.0,450.0,70.0,278.0,,1048.0,768.0,,65.0
3289,Kona,2020,Jake the Snake,Super Jake,road,cyclocross,560.0,385.0,1.455,546.0,520.0,74.0,137.9,70.5,425.0,70.0,282.0,610.0,1026.0,787.0,45.0,
3296,Giant,2018,AnyRoad 2,AnyRoad,road,gravel,596.0,363.0,1.642,540.0,415.0,73.5,185.0,72.0,430.0,60.0,,,1016.0,714.0,50.0,60.0
3308,Kona,2017,Private Jake,Private Jake,road,cyclocross,560.0,384.0,1.458,545.0,510.0,74.0,140.0,70.5,420.0,70.0,280.0,610.0,1020.0,780.0,45.0,
3326,Kona,2015,JAKE,SUPER JAKE,road,cyclocross,558.0,385.0,1.449,550.0,530.0,73.5,135.0,71.0,425.0,65.0,,606.0,1022.0,790.0,45.0,
3337,Specialized,2014,Tricross Comp Disc,Tricross,road,touring,579.0,364.0,1.591,530.0,520.0,74.0,140.0,71.5,440.0,73.0,,592.0,1021.0,787.0,51.0,62.0
3365,Kona,2013,JAKE,MAJOR JAKE,road,cyclocross,558.0,385.0,1.449,550.0,530.0,73.5,135.0,71.0,425.0,65.0,285.0,606.0,1022.0,797.0,45.0,
3459,CUBE,2021,AGREE C:62 RACE,AGREE C:62,road,aero,573.0,390.0,1.469,560.0,500.0,73.5,170.0,72.5,412.0,71.0,,,1006.0,788.0,,
3488,Norco,2021,Threshold A1,Threshold,road,cyclocross,553.0,379.0,1.459,537.5,530.0,74.0,130.0,71.25,422.5,70.0,275.0,,1010.0,746.0,48.0,66.0
3545,Giant,2021,"AnyTour E+ 2 Low, Step Through",AnyTour E+,road,touring,657.0,396.0,1.659,610.0,550.0,72.0,185.0,69.5,470.0,60.0,,,1133.0,395.0,44.0,86.9
3557,Salsa,2020,Cutthroat Apex 1,Cutthroat,road,gravel,619.53,385.28,1.608,560.0,508.0,74.25,127.0,69.0,445.0,70.0,,,1090.31,810.51,51.0,
3565,Salsa,2018,CUTTHROAT APEX 1,CUTTHROAT,road,gravel,645.3,382.7,1.686,580.0,533.0,73.0,140.0,71.0,445.0,70.0,,,1067.9,829.9,45.0,
3574,Trek,2021,Crockett 5 Disc,Crockett,road,cyclocross,547.0,379.0,1.443,531.0,493.0,74.5,123.0,71.5,425.0,70.0,,,1005.0,761.0,,71.0
3579,Specialized,2019,Ruby,Ruby,road,endurance,575.0,365.0,1.575,534.0,425.0,74.0,120.0,71.5,413.0,77.5,,589.0,990.0,727.9,50.0,62.0
3685,Trek,2021,920,920,road,touring,583.0,392.0,1.487,562.0,490.0,73.8,120.0,71.0,465.0,85.0,283.0,,1079.0,760.0,,68.0
3692,Giant,2020,Revolt E+ Pro Electric Bike,Revolt E+ Pro,road,gravel,586.0,386.0,1.518,565.0,500.0,73.0,165.0,71.0,455.0,70.0,,,1066.0,,50.0,68.8
3696,Specialized,2019,Dolce Sport,Dolce,road,endurance,548.0,370.0,1.481,527.0,422.0,74.0,145.0,72.0,415.0,73.0,269.5,580.0,984.0,720.8,49.0,60.0
3725,Trek,2017,1.1,1.1,road,race,547.0,379.0,1.443,534.0,493.0,74.2,140.0,72.8,407.0,72.0,,,973.0,747.0,,58.0
3726,Trek,2017,1.2,1.2,road,race,547.0,379.0,1.443,534.0,493.0,74.2,140.0,72.8,407.0,72.0,,,973.0,747.0,,58.0
3727,Trek,2017,920 Disc,920 Disc,road,touring,583.0,392.0,1.487,562.0,490.0,73.8,120.0,71.0,465.0,85.0,283.0,,1079.0,760.0,,68.0
3812,Specialized,2020,Venge Pro,Venge,road,aero,534.0,387.0,1.38,540.0,495.0,74.0,133.0,73.0,410.0,72.0,268.0,579.0,978.0,773.0,44.0,58.0
3849,Trek,2017,Lexa 2 Women's,Lexa,road,race,545.0,368.0,1.481,518.0,437.0,74.6,138.0,71.3,410.0,72.0,,,984.0,713.0,,62.0
3862,Specialized,2015,Secteur Sport Double,Secteur,road,endurance,564.0,380.0,1.484,548.0,466.0,73.5,165.0,72.0,415.0,71.5,,595.0,1000.0,776.0,49.0,59.0
3959,Salsa,2021,Warbird Carbon GRX 810,Warbird,road,gravel,565.97,371.97,1.522,545.0,475.0,73.0,140.0,70.75,430.0,70.0,,,1022.39,744.3,50.0,
3984,Salsa,2018,WARBIRD APEX 1,WARBIRD,road,gravel,567.3,376.6,1.506,550.0,520.0,73.0,140.0,70.5,430.0,70.0,,,1024.7,771.6,45.0,
4091,Giant,2020,TCR Advanced 2 Disc,TCR Advanced,road,race,545.0,383.0,1.423,550.0,470.0,73.0,148.0,73.0,405.0,68.0,,,976.0,765.0,45.0,57.0
4404,CUBE,2017,AXIAL WLS,AXIAL WLS,road,endurance,561.0,376.0,1.492,537.0,490.0,74.0,152.0,72.0,410.0,74.0,,,990.0,,,
4410,Scott,2017,Addict Premium Disc Di2,Addict,road,endurance,526.7,384.0,1.372,535.0,505.0,74.0,120.0,72.0,410.0,67.0,272.0,,985.1,757.4,,62.8
4465,Santa Cruz,2021,Stigmata Force 2X / Carbon CC / 700c,Stigmata,road,gravel,596.0,388.0,1.536,565.0,545.0,73.5,170.0,72.0,425.0,72.0,279.0,610.0,1025.0,797.0,,
4653,Cannondale,2019,Slate Apex 1,Slate,road,gravel,582.0,398.0,1.462,570.0,494.0,73.5,160.0,71.5,405.0,65.0,275.0,621.0,1018.0,772.0,45.0,66.0
4660,Specialized,2017,Amira Comp - Torch Edition,Amira,road,race,529.0,378.0,1.399,515.0,460.0,76.0,125.0,72.0,405.0,73.0,269.0,582.0,976.0,735.0,49.0,59.0
4704,Surly,2020,Long Haul Trucker,Long Haul Trucker,road,touring,532.3,374.5,1.421,530.0,500.0,74.0,144.0,71.0,460.0,47.0,,,1046.8,756.1,45.0,
4707,BMC,2019,TRACKMACHINE 02,TRACKMACHINE,road,track,563.0,413.0,1.363,580.0,585.0,73.5,178.0,73.0,390.0,58.0,,616.0,999.0,,43.0,58.0
